StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2#1_1,Q2#1_2,Q2#1_3,Q2#1_4,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q11#1_1,Q11#1_2,Q11#1_3,Q11#1_4,Q12#1_1,Q12#1_2,Q13,Q15,Q16,Q17,Q18,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q22#1_1,Q22#1_2,Q22#1_3,Q22#1_4,Q22#1_5,Q23#1_1,Q23#1_2,Q24,Q26,Q27,Q28,Q29,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q33#1_1,Q33#1_2,Q33#1_3,Q33#1_4,Q33#1_5,Q34#1_1,Q34#1_2,Q35,Q37,Q38,Q39,Q40
2019-09-19 10:49:59,2019-09-19 12:07:45,IP Address,128.206.42.193,100,4666,True,2019-09-19 12:07:48,R_eXSRDvJuzrNfy7L,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Disagree,Somewhat Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.851,282.851,283.848,1,Disagree,Somewhat Disagree,Agree,Disagree,Neither Agree or Disagree,No,No,"I think they are important questions to ask. This is a big controversial topic in today'w world. ",19,Female,Caucasian/White,Freshman
2019-09-19 11:59:10,2019-09-19 12:08:02,IP Address,128.206.42.214,100,531,True,2019-09-19 12:08:03,R_1LorflwT05ldanw,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,274.475,0,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,No,No,I was shown some charts of levels of different health care fields but it was hard for me to understand fully because my parents pay for my health care.,18,Female,Caucasian/White,Freshman
2019-09-19 11:18:20,2019-09-19 12:14:36,IP Address,128.206.42.165,100,3376,True,2019-09-19 12:14:37,R_1jSOzPBxyLktvxj,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Disagree,Somewhat Agree,Neither Agree or Disagree,Agree,0,0,611.456,0,Strongly Disagree,Agree,Neither Agree or Disagree,Agree,No,No,"You are way oversimplifying a complex system that, yes, needs reform, but does not have such a simple answer as a lot of people would believe.  Also, rather than use pizza as an analogy have people fill out a form that gives them real insurance benefits to decide between.",21,Female,Caucasian/White,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19 12:24:56,2019-09-19 12:32:32,IP Address,128.206.42.214,100,456,True,2019-09-19 12:32:33,R_1HpDqXO79u9Tt3E,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Somewhat Agree,Agree,Agree,Somewhat Agree,0,0,210.441,0,Somewhat Agree,Agree,Agree,Somewhat Agree,No,No,"I can't figure out the connection with the study, it seems odd to do an exercise about pizza when I am here for Health Care ",19,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19 14:26:18,2019-09-19 14:36:33,IP Address,128.206.42.214,100,614,True,2019-09-19 14:36:33,R_31WyfqYdvPWvqYX,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Agree,Disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,395.598,0,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,No,No,Very informative,18,Female,Caucasian/White,Freshman
2019-09-19 12:42:02,2019-09-24 10:34:56,IP Address,128.206.42.165,100,424373,True,2019-09-24 10:34:58,R_1M6CFbxweIYm4KZ,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Agree,Somewhat Agree,Neither Agree or Disagree,,,,,,,,,,,,,,,,0,0,117.523,0,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,No,No,"It was interesting. ",18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 10:31:10,2019-09-24 10:48:36,IP Address,128.206.42.169,100,1045,True,2019-09-24 10:48:37,R_1Nh2rm4DFzOi6r0,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,,,,,,,,,,,,,,,0,0,758.938,0,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,No,No,hard to decide how many dots to put for each one because all are very important,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 10:29:47,2019-09-24 10:48:40,IP Address,128.206.42.217,100,1133,True,2019-09-24 10:48:40,R_pGEELZab14ITQhH,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Somewhat Agree,Agree,Somewhat Disagree,Agree,0,0,734.287,0,Somewhat Agree,Agree,Somewhat Disagree,Agree,No,No,"a little bit confusing with the directions ",18,Female,"Caucasian/White,Asian/Pacific Islander",Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 10:16:31,2019-09-24 10:49:10,IP Address,128.206.42.214,100,1958,True,2019-09-24 10:49:10,R_3qlLpzZMNlhYZsu,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Somewhat Agree,Agree,Strongly Disagree,Agree,0,0,672.892,0,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,No,Yes,It was interesting and informative to actually simulate and break down how a health care plan works through the idea of making my own pizza.,18,Female,Asian/Pacific Islander,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 10:30:23,2019-09-24 10:49:54,IP Address,128.206.42.166,100,1170,True,2019-09-24 10:49:54,R_2SfyETXKdPRivRQ,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Agree,Somewhat Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,688.387,0,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Disagree,No,Yes,The exercise really makes you think about the basic health care you should be allowed to recieve,18,Female,Caucasian/White,Freshman
2019-09-24 10:27:13,2019-09-24 10:49:58,IP Address,128.206.42.171,100,1365,True,2019-09-24 10:49:59,R_1jljzJvhAKceOh7,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,0,0,846.011,0,Agree,Agree,Strongly Agree,Agree,Agree,No,No,People are getting basic needs when they should be receiving higher funding for insurance.,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 10:35:22,2019-09-24 10:50:01,IP Address,128.206.42.165,100,878,True,2019-09-24 10:50:03,R_3dZm8OKEgHhs3ex,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,0,0,648.815,0,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,No,No,"I was not really sure what the point was. Maybe it was showing how you cant have everything and if you do, you only have lower quality stuff?",18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 10:27:29,2019-09-24 10:51:47,IP Address,128.206.42.193,100,1457,True,2019-09-24 10:51:47,R_1NmQI0uux7OGw2A,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,,,,,887.866,887.866,891.4,1,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,No,No,"I wish i knew more specifics about the ACT for a more informedopinion ",,,,,,,,,,,,,,,,,,,,
2019-09-24 10:52:19,2019-09-24 11:10:14,IP Address,128.206.42.214,100,1075,True,2019-09-24 11:10:15,R_4Yp6Jk985TYNM09,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,364.007,0,Agree,Agree,Disagree,Agree,Agree,No,No,"My parents take care of our health insurance so I have never really thought about it that much. I was surprised about some of the things that are taken care of by insurance, such as long term care. I am glad that there is types of insurance that covers these things.",19,Female,Caucasian/White,Freshman
2019-09-24 10:52:26,2019-09-24 11:22:13,IP Address,128.206.42.165,100,1786,True,2019-09-24 11:22:13,R_Uh9rO3qmIuPZu9P,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,276.364,0,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,No,No,Interesting seeing the options for this medical plan and the different amouts they will cover for you depending on how much coverage you have payed for. Even though everyone should be covered in some way.,18,Female,Caucasian/White,Freshman
2019-09-24 10:52:32,2019-09-24 11:24:18,IP Address,128.206.42.169,100,1906,True,2019-09-24 11:24:19,R_2QiDo8UZkY5crUW,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Strongly Agree,Agree,Disagree,Strongly Agree,0,0,529.231,0,Strongly Agree,Agree,Disagree,Strongly Agree,No,No,I feel as if my mindset has not changed on the topic of healthcare.,18,Male,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:11:26,2019-09-24 11:28:41,IP Address,128.206.42.214,100,1035,True,2019-09-24 11:28:41,R_2TTumCI6z57il7g,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Agree,,,,,,,,,,,,,,,,0,0,607.422,0,Neither Agree or Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,No,No,i feel it opened my eyes to how hard it would be to create a healthcare plan that would make everyone happy and not just a specific group of people.,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 11:30:19,2019-09-24 11:50:53,IP Address,128.206.42.214,100,1234,True,2019-09-24 11:50:54,R_D98UsrxmuKnOudz,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Agree,,,,,,,,,,,,,,,,884.792,884.792,890.095,1,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,No,Yes,It gave me a good understanding of the complexity that goes into health care plans and how much is actually covered under one plan.,18,Male,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 12:02:01,2019-09-24 12:14:35,IP Address,128.206.42.214,100,753,True,2019-09-24 12:14:35,R_1lnJx8Ed6KhNb9K,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Disagree,Disagree,Agree,Neither Agree or Disagree,0,0,611.219,0,Disagree,Disagree,Agree,Neither Agree or Disagree,No,No,"Confusing. Not sure what the pizza toppings had to do with the experiment. ",18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 12:21:11,2019-09-24 12:38:15,IP Address,128.206.42.214,100,1024,True,2019-09-24 12:38:15,R_1q7Dyi6NQcELhIG,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,378.589,0,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Agree,Somewhat Agree,Yes,No,It was nice to have the different levels that you could choose from so that you could select which best fit your needs. This helps ensure that you would not be paying for something you did not want or need.,20,Female,Caucasian/White,Junior
2019-09-24 12:21:43,2019-09-24 12:48:01,IP Address,128.206.42.165,100,1577,True,2019-09-24 12:48:02,R_2pLy5CtKVMyXWBb,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Agree,Agree,Disagree,Strongly Agree,0,0,488.97,0,Agree,Agree,Disagree,Strongly Agree,No,No,It opened up my eyes to the correlation between healthcare and the pizza shop. If something like universal health care was an option things would be limited and not the best quality if the budget wasnt large enough.,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:24:57,2019-09-24 13:12:13,IP Address,128.206.42.169,100,6436,True,2019-09-24 13:12:13,R_2q9iftZ0FqFfBEJ,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Agree,Neither Agree or Disagree,Agree,,,,,,,,,,,,,,,,0,0,583.53,0,Agree,Agree,Somewhat Disagree,Agree,Agree,No,No,Health care and good health care at that should be considered a human right.,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 13:00:03,2019-09-24 13:12:26,IP Address,128.206.42.165,100,742,True,2019-09-24 13:12:26,R_yqMzPwNb0w1910l,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,375.025,0,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,No,No,"Looking at the basic, medium, and high coverage options it shows how some people that aren't well insured have to settle for inadequate health care coverage.",19,Female,African-American/Black,Freshman
2019-09-24 12:59:40,2019-09-24 13:12:41,IP Address,128.206.42.214,100,780,True,2019-09-24 13:12:41,R_3RlNheFYqezRHKv,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree or Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,400.882,0,Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,No,No,"I think the exercise presents good ideas, but it did nit mention how these ideas would be paid for.",18,Female,Caucasian/White,Freshman
2019-09-24 10:52:42,2019-09-24 13:13:01,IP Address,128.206.42.193,100,8418,True,2019-09-24 13:13:01,R_32Pj8IVvonj8Lg2,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Somewhat Agree,Strongly Agree,Neither Agree or Disagree,Agree,,,,,,,,,,,,,,,,0,0,599.957,0,Neither Agree or Disagree,Agree,Neither Agree or Disagree,Strongly Agree,Somewhat Disagree,No,Yes,It made me thing a lot more about what limitations there are,19,Female,Caucasian/White,Sophmore,,,,,,,,,,,,,,,,
2019-09-24 10:52:55,2019-09-24 13:16:35,IP Address,128.206.42.166,100,8619,True,2019-09-24 13:16:35,R_3EQgWoAM472biKR,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,0,0,677.919,0,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,No,No,a little bit confusing,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 13:22:20,2019-09-24 13:34:47,IP Address,128.206.42.214,100,746,True,2019-09-24 13:34:47,R_3a3vb3RyFXiRJGF,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Agree,,,,,,,,,,,,,,,,0,0,576.014,0,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,No,No,"nothing ",19,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,
2019-09-24 14:31:58,2019-09-24 14:41:12,IP Address,128.206.42.214,100,554,True,2019-09-24 14:41:12,R_2SoQP3zV2MLWDwT,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Neither Agree or Disagree,Somewhat Agree,Agree,Agree,0,0,311.758,0,Neither Agree or Disagree,Somewhat Agree,Agree,Somewhat Agree,No,No,It wasn't a difficult task at all.,18,Female,Caucasian/White,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24 14:58:41,2019-09-24 15:08:16,IP Address,128.206.42.214,100,575,True,2019-09-24 15:08:17,R_elln0Xv17fbMHh7,,,,,38.9517059326171875,-92.33409881591796875,anonymous,EN,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,286.973,0,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neither Agree or Disagree,No,No,"I think the experiment was trying see my thoughts on this matter and show me what other people go through and see if it changed my mind. ",18,Female,Caucasian/White,Freshman
